Area,Total,Population,MRate
Mozambique,2,31185050,0.064133295
Burundi,1,11861964,0.084303072
Myanmar,6,54384701,0.110325145
Angola,4,32782300,0.122017064
Rwanda,2,12926993,0.154715022
Ethiopia,20,114739889,0.174307298
Malawi,4,19090825,0.209524732
Benin,3,12098003,0.24797481
Zimbabwe,4,14847136,0.269412229
Madagascar,8,27634723,0.28949087
Taiwan,7,23813918,0.293945751
Syria,6,17467375,0.34349752
Tanzania,21,59597011,0.352366665
Zambia,7,18342575,0.381625808
Gambia,1,2411208,0.414729878
Botswana,1,2348017,0.425891295
Nepal,13,29097598,0.446772273
Uzbekistan,16,33433825,0.478557269
Sri Lanka,11,21407188,0.513846097
Hong Kong,4,7492751,0.533849316
Palestine,3,5092199,0.589136442
Venezuela,20,28441089,0.703207954
Libya,5,6864522,0.728382836
CAR,4,4823511,0.829271458
Thailand,58,69788308,0.831084771
Jordan,9,10195993,0.882699704
South Sudan,10,11184347,0.894106737
DRC,82,89338858,0.917853685
R¨¦union,1,894871,1.117479503
Ghana,42,31023387,1.353817364
Ivory Coast,36,26326964,1.36741935
Kenya,79,53680055,1.471682546
Paraguay,11,7126251,1.543588627
Togo,13,8263626,1.573159289
Nigeria,333,205738192,1.618561905
Western Sahara,1,596187,1.677326074
Suriname,1,586264,1.705716196
Guinea,23,13104342,1.755143448
Costa Rica,10,5090858,1.964305427
Comoros,2,868181,2.303667092
Burkina Faso,53,20857394,2.541065293
Eswatini,3,1159314,2.587737231
Niger,65,24132092,2.69350871
Kazakhstan,52,18760630,2.771761929
Senegal,47,16708875,2.812876391
China,"4,634","1,439,323,776",3.219567464
Georgia,13,3989660,3.258423024
French Guiana,1,298069,3.354927886
Kyrgyzstan,22,6516228,3.376186346
Jamaica,10,2960293,3.378043998
Malaysia,117,32336127,3.618244077
Congo,20,5507429,3.631458526
Yemen,111,29775362,3.727914374
Australia,102,25478762,4.003334228
Singapore,24,5847148,4.104565166
Tunisia,49,11809865,4.149073677
Chad,68,16387798,4.14942874
Lebanon,29,6827373,4.247607389
Mali,87,20203690,4.306144076
Haiti,50,11392561,4.388828816
New Zealand,22,"5,002,100",4.398152776
Brunei ,2,437184,4.574732836
India,"6,672",1379048498,4.838118463
Somalia,79,15857611,4.981834906
Belize,2,397087,5.036679619
Tajikistan,48,9521091,5.041439054
Slovakia,28,5459469,5.128703909
Bangladesh,846,164573672,5.140554924
S. Korea,273,51266282,5.325137485
Morocco,208,36879268,5.640025176
Trinidad and Tobago,8,1399184,5.717618269
Liberia,30,5048427,5.942445043
Sierra Leone,48,7964638,6.026639252
Cura?ao,1,164048,6.095776846
Guinea-Bissau,12,1964376,6.108810126
Indonesia,"1,801",273318704,6.589377067
Uruguay,23,3472922,6.622665295
Nicaragua,46,6618915,6.949779533
