	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
V1	564.9668697	332.4288162	443.8346407	579.2766172	570.4018006	439.91145	448.3607825	1066.471159	593.4520869	581.1834507
V2	305.6720349	235.0356031	110.0793529	364.4400974	102.8380167	136.9099644	61.25932282	211.0283321	136.6756689	277.2332342
V3	452.5412644	227.4895399	261.3628884	377.146581	234.7301145	196.4940123	182.4031533	341.8394678	329.2185919	409.3547537
V4	191.8202009	64.96207709	48.82940177	120.4891301	44.74660146	35.00633924	63.1098141	51.56840462	58.77710005	47.76112533
V5	2115.496498	977.7265951	1126.949148	2622.031622	1249.435401	969.2763115	894.1982904	2378.602986	1108.638708	1193.752032
V6	57.39534302	62.65862595	21.21128725	141.342246	22.34673267	17.71260351	14.07076692	53.30603902	59.31426424	46.53117385
V7	0.369869682	0.395011174	0.421354921	0.631749524	0.331326548	0.449139604	0.173251375	0.511954719	0.239375803	0.361363673
V8	6.20963104	5.544009934	2.108449406	6.272539497	2.614420929	3.11758158	2.966210979	3.484776445	3.551807006	2.444666016
V9	376.1044844	241.2763777	286.4838956	415.4836284	290.3535736	314.9923062	281.566679	279.087241	396.2662611	326.9785429
V10	5.165781803	3.303892354	2.173855316	1.51349444	2.216128779	2.63894412	0.249536073	1.485371958	1.359580692	2.934919363
V11	3380.858004	1194.472684	2289.55893	1115.244831	2015.297817	800.6998295	2098.768654	456.0535351	2122.169923	1419.762667
V12	6.906880831	6.383218038	5.488635853	8.203577855	5.257264247	6.035337625	4.145910554	9.501432359	4.540639474	2.257069412
V13	2.212405911	2.070595355	2.286235831	2.312335615	1.834566092	2.82327794	0.12764414	2.726502379	1.2764414	1.806918155
V14	6.786032028	5.19725465	0.214775133	0.021477513	0.532331137	3.136363636	0.021477513	1.585647555	1.171526331	1.898113114
V15	1.487528191	0.876570087	1.087064201	1.122494977	0.675254944	0.589893466	0.314438205	1.338154782	1.13681973	0.983443571
