	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10
V1	820.705013	1145.343863	1087.261517	778.8535663	754.3490765	591.7525592	1100.824377	423.0068492	832.2108299	639.361267
V2	298.8631006	404.5853218	294.4944456	372.0589315	293.6471572	547.2948589	415.3372291	107.7317573	394.3365859	247.8422386
V3	469.3145156	353.4642477	578.6402294	610.4487696	460.3519084	476.2686927	380.0280563	204.5136653	382.614849	351.1391457
V4	141.2402003	169.30373	136.4009253	80.82960159	101.9654853	242.7609899	160.7577148	69.6038092	227.7750015	86.22602467
V5	2017.445683	2090.119864	1994.455687	1702.797816	2350.966084	1439.540162	1387.042491	1481.864088	1526.031925	1792.143474
V6	63.32682101	214.4727584	53.42868686	44.40824505	30.90537371	83.51547272	112.9643572	212.3763315	60.01669719	118.1980886
V7	0.947932798	0.642188719	0.370833128	1.182276568	0.733659042	1.046871823	0.680737407	0.716801789	0.508225161	0.85290476
V8	3.477002188	3.410824324	3.340884691	0.880319145	1.185879468	3.362944496	0.764569946	1.744297018	4.988931859	2.782349171
V9	467.6370406	450.5177634	445.2477054	402.1520544	426.6596877	326.385819	590.1771363	280.871597	512.6642556	307.623406
V10	6.451160347	5.702005622	8.994645763	6.227988896	8.170873456	5.620524825	9.589200478	6.777930927	4.981332902	8.686756303
V11	5074.839037	5529.831241	4867.056801	2724.838576	3358.646078	2353.590842	3528.392454	956.0698392	4260.0052	2810.955912
V12	9.725328884	27.35607666	10.29840517	10.77529905	17.22938584	2.435864966	36.42038071	4.787975223	8.188632272	0.793053537
V13	2.955437627	4.681656317	4.523959387	4.478071814	5.553163114	2.605709036	5.691126103	4.332827428	2.291937094	5.540882084
V14	13.36125942	10.32051282	5.383097245	2.52238806	8.681754356	2.590149283	5.693664435	0.021477513	7.182932072	6.841678529
V15	3.128966842	3.797613614	2.860019678	1.074396141	2.476941282	2.6526512	2.640199291	1.968686057	2.818956385	1.276489089
